OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,CONFIDENCE,FIRETYPE,ID,AREA_,PERIMETER,COMMENTS,SHAPE_Length,SHAPE_Area
12,8479.39883901901,AK6201316162819840703,KUYUKUTUK,1984,7,3,High,WF,0,34314907.07617,33899.28659, ,72131.4304466534,155243988.995218
13,37083.0043399721,AK6375715753719840609,WAPOO FIRE,1984,6,9,Low,WF,0,150069583.01993,119174.92636, ,268979.088783184,764411234.091482
14,1399.22823236665,AK6379515502919840623,414060,1984,6,23,High,WF,0,5662475.33387,18064.74595, ,40819.233426557,28920112.8980989
15,10243.3902319295,AK6393015752719840606,MUD FIRE,1984,6,6,Low,WF,0,41453526.43823,59517.00838,Hard to determine fire perimeter,135164.240981235,213753729.00493
16,1896.87433273702,AK6448214467319840607,GLACIER CREEK,1984,6,7,High,WF,0,7676377.5002,17052.62979, ,39504.3076088283,41190231.3415167
17,2756.04278217039,AK6458915275719840623,TAL SW 37,1984,6,23,High,WF,0,11153308.59694,17474.02695, ,40633.7084068107,60316724.0709706
18,1688.85086172663,AK6495716269319840702,414057,1984,7,2,High,WF,0,6834536.44367,11274.15139, ,26578.8902181222,37978564.0357454
19,3169.15993053042,AK6535415457219840611,414008,1984,6,11,Low,WF,0,12825134.2566,22957.89565,Perimeter difficult to delineate.,54937.881901906,73426654.573401
20,3155.9592617129,AK6552815643319840703,HSL S 10,1984,7,3,High,WF,0,12771713.04922,26709.81674, ,64323.4079505345,74098145.4943061
21,1258.37093648611,AK6562715090219840619,TAL NE 36,1984,6,19,High,WF,0,5092446.12415,9288.25755, ,22468.9864537934,29770420.7340976
22,1964.38972852277,AK6621715235619840618,414012,1984,6,18,Low,WF,0,7949602.59275,16910.24305,some boundaries indistinct,41807.8853854194,48661246.00612
23,1989.47245561858,AK6640915520219840617,HUS NW 30,1984,6,17,High,WF,0,8051108.78038,26634.17859, ,66350.3299121349,50038044.739282
24,1487.41796577545,AK6645315732419840624,DCK SSW 35,1984,6,24,Low,WF,0,6019366.49614,14335.26417,perimeter difficult to delineate,35801.3682618626,37542501.6857376
25,6723.15705398765,AK6793316087819840625,IAN N 55,1984,6,25,Low,WF,0,27207649.26217,36499.0669,perimeter difficult to delineate,96876.1878211006,191832820.080585
26,1775.44411387872,AK6807116065419840625,WTK NE 50,1984,6,25,Low,WF,0,7184966.87599,17852.68328,perimeter difficult to delineate,47642.8624820769,51265275.7813402
692,5357.68229327752,AZ3316911195219840926,CHANDLER,1984,9,26,Low,WF,0,21681769.3716,44356.20352,Cloud shadow over fire. Fire still visible.,53152.6731836292,31028236.2917535
693,1171.18883544065,AZ3317411211019840530,PRINCE,1984,5,30,High,WF,0,4739632.70508,19134.95392, ,22890.7607407813,6783588.13568248
694,1060.21535542605,AZ3317511203319840807,DRAGONFIRE,1984,8,7,Low,WF,0,4290538.99844,18413.95308,Perimeter difficult to delineate.,22053.3669600299,6140965.31714276
695,1838.85146490828,AZ3391411158319840529,BLACK,1984,5,29,High,WF,0,7441567.30249,13629.02758,Single scene assessment,16466.4120066664,10832816.7786513
696,1260.040142392,AZ3536611193219840614,SANDERSON,1984,6,14,High,WF,0,5099201.16028,13952.1407, ,17077.1309773713,7685219.95494365
697,1078.53014971459,OR4277211878619840812,STEENS 1,1984,8,12,High,WF,0,4364656.33578,11942.81892, ,16295.9258333103,8109095.82906076
698,384.21167183453,OR4277211878619840812,STEENS 1,1984,8,12,High,WF,0,1554849.35511,6676.49691, ,9098.4331510433,2886233.17991601
